timestamp,PLC1_IR0,PLC1_C0,PLC1_C1,PLC1_C2,PLC2_IR0,PLC2_C0,PLC3_IR0,PLC3_C0,PLC3_C1
1764361497.96883,53,False,True,True,19,True,2,False,False
1764361498.776492,53,False,True,True,19,True,2,False,False
1764361499.2589111,53,False,True,True,19,True,2,False,False
1764361500.1394079,52,False,True,True,20,False,2,False,False
1764361500.9547749,52,False,True,True,20,False,2,False,False
1764361501.792193,52,False,True,True,20,False,2,False,False
1764361502.3295734,52,False,False,False,20,False,2,False,False
1764361504.054894,51,False,False,False,20,False,2,False,False
1764361504.860078,51,False,False,False,20,False,2,False,False
1764361505.736854,51,False,False,False,20,False,2,False,False
1764361506.5483112,51,False,False,False,20,False,2,False,False
1764361507.7115982,51,False,False,False,20,False,2,False,False
1764361508.7092717,51,False,False,False,19,False,2,False,False
1764361509.408912,51,False,False,False,19,False,2,False,False
1764361509.9573863,51,False,False,False,19,False,2,False,False
1764361510.6032298,51,False,False,False,19,False,2,False,False
1764361511.7010942,51,False,False,False,19,False,2,False,False
1764361512.6780524,51,False,False,False,19,False,2,False,False
1764361513.5926373,51,False,False,False,19,False,2,False,False
1764361514.6187565,51,False,False,False,18,False,2,False,False
1764361515.364943,51,False,False,False,18,False,2,False,False
1764361515.8721905,51,False,False,False,18,False,2,False,False
1764361516.260174,51,False,False,False,18,False,2,False,False
1764361517.1122172,51,False,False,False,18,False,2,False,False
1764361517.9628937,51,False,False,False,18,False,2,False,False
1764361518.457865,51,False,False,False,18,False,2,False,False
1764361519.4242098,51,False,False,False,18,False,2,False,False
1764361520.3088713,51,False,False,False,18,False,2,False,False
1764361520.9956884,51,False,False,False,18,False,2,False,False
1764361521.6496081,51,False,False,False,17,False,2,False,False
1764361522.9419622,51,False,False,False,17,False,2,False,False
1764361524.2897465,51,False,False,False,17,False,2,False,False
1764361525.366543,51,False,False,False,17,False,2,False,False
1764361526.9087696,51,False,False,False,17,False,2,False,False
1764361527.451309,51,False,False,False,17,False,3,True,False
1764361528.4511125,51,False,False,False,18,False,1,True,False
1764361529.147431,51,False,False,False,18,False,1,True,False
1764361529.5148618,51,False,False,False,19,False,0,False,False
1764361530.1842012,51,False,False,False,19,False,0,False,False
1764361530.9592857,51,False,False,False,19,False,0,False,False
1764361531.6593454,51,False,False,False,18,False,0,False,False
1764361532.3346772,51,False,False,False,18,False,0,False,False
1764361532.9557703,51,False,False,False,18,False,0,False,False
1764361533.783348,51,False,False,False,18,False,0,False,False
1764361534.5728362,51,False,False,False,18,False,0,False,False
1764361535.5819707,51,False,False,False,18,False,0,False,False
1764361536.000528,51,False,False,False,18,False,0,False,False
1764361536.5794725,51,False,False,False,18,False,0,False,False
1764361537.4702804,51,False,False,False,18,False,0,False,False
1764361538.208384,51,False,False,False,17,False,0,False,False
1764361539.211478,51,False,False,False,17,False,0,False,False
1764361539.8599796,51,False,False,False,17,False,0,False,False
1764361540.6020951,51,False,False,False,17,False,0,False,False
1764361541.1622097,51,False,False,False,17,False,0,False,False
1764361542.1747983,51,False,False,False,17,False,0,False,False
1764361542.8283274,51,False,False,False,17,False,0,False,False
1764361543.5780787,51,False,False,False,17,False,0,False,False
1764361544.3505144,51,False,False,False,17,False,0,False,False
1764361545.4506483,51,False,False,False,16,False,0,False,False
1764361546.2393017,51,False,False,False,16,False,0,False,False
1764361547.3351426,51,False,False,False,16,False,0,False,False
1764361547.901914,51,False,False,False,16,False,0,False,False
1764361548.824215,51,False,False,False,16,False,0,False,False
1764361549.7835104,51,False,False,False,16,False,0,False,False
1764361550.838694,51,False,False,False,16,False,0,False,False
1764361551.4067793,51,False,False,False,16,False,0,False,False
1764361551.8850613,51,False,False,False,15,False,0,False,False
1764361552.734531,51,False,False,False,15,False,0,False,False
1764361553.3843307,51,False,False,False,15,False,0,False,False
1764361554.086564,51,False,False,False,15,False,0,False,False
1764361554.9194458,51,False,False,False,15,False,0,False,False
1764361555.9906437,51,False,False,False,15,False,0,False,False
1764361556.8267994,51,False,False,False,15,False,0,False,False
1764361557.8504949,51,False,False,False,15,False,0,False,False
1764361558.6224995,51,False,False,False,14,False,0,False,False
1764361559.366865,51,False,False,False,14,False,0,False,False
1764361560.0026531,51,False,False,False,14,False,0,False,False
1764361560.6236386,51,False,False,False,14,False,0,False,False
1764361561.6483853,51,False,False,False,14,False,0,False,False
1764361562.41447,51,False,False,False,14,False,0,False,False
1764361563.0968287,51,False,False,False,14,False,0,False,False
1764361563.7701983,51,False,False,False,14,False,0,False,False
1764361564.6826012,51,False,False,False,14,False,0,False,False
1764361565.6139789,51,False,False,False,14,False,0,False,False
1764361566.7672882,51,False,False,False,13,False,0,False,False
1764361567.2083886,51,False,False,False,13,False,0,False,False
1764361568.4398482,51,False,False,False,13,False,1,False,False
1764361569.205544,51,False,False,False,13,False,1,False,False
1764361569.817811,51,False,False,False,13,False,1,False,False
1764361570.415334,51,False,False,False,13,False,1,False,False
1764361571.2170644,51,False,False,False,13,False,1,False,False
1764361571.8697863,51,False,False,False,13,False,1,False,False
1764361572.9074237,51,False,False,False,13,False,1,False,False
1764361573.6784332,51,False,False,False,12,False,1,False,False
1764361574.1565797,51,False,False,False,12,False,1,False,False
1764361575.1074402,51,False,False,False,12,False,1,False,False
1764361576.1710699,51,False,False,False,12,False,1,False,False
1764361576.688929,51,False,False,False,12,False,1,False,False
1764361577.0978308,51,False,False,False,12,False,1,False,False
1764361578.2537544,51,False,False,False,12,False,1,False,False
1764361578.737129,51,False,False,False,12,False,1,False,False
1764361579.592312,51,False,False,False,12,False,1,False,False
1764361580.2051222,51,False,False,False,12,False,1,False,False
1764361580.814269,51,False,False,False,12,False,1,False,False
1764361581.2993722,51,False,False,False,12,False,1,False,False
1764361582.1970017,51,False,False,False,11,False,1,False,False
1764361583.0821998,51,False,False,False,11,False,1,False,False
1764361584.1222153,51,False,False,False,11,False,1,False,False
1764361584.7015376,51,False,False,False,11,False,1,False,False
1764361585.4869633,51,False,False,False,11,False,1,False,False
1764361586.4742854,51,False,False,False,11,False,1,False,False
1764361587.1206515,51,False,False,False,11,False,1,False,False
1764361587.5891554,51,False,False,False,11,False,1,False,False
1764361588.4385638,51,False,False,False,11,False,1,False,False
1764361589.7812266,51,False,False,False,10,True,1,False,False
1764361590.6815767,51,False,False,False,10,True,1,False,False
1764361591.2392435,51,False,False,False,10,True,1,False,False
1764361592.4077215,51,False,True,True,10,True,1,False,False
1764361593.1376934,51,False,True,True,10,True,1,False,False
1764361593.8392086,51,False,True,True,10,True,1,False,False
1764361594.7070122,50,False,True,True,11,True,1,False,False
1764361595.745218,50,False,True,True,11,True,1,False,False
1764361596.9150927,49,False,True,True,11,True,1,False,False
1764361597.6224897,49,False,True,True,12,True,1,False,False
1764361598.2356637,49,False,True,True,12,True,1,False,False
1764361599.365372,48,False,True,True,12,True,1,False,False
1764361600.2364566,48,False,True,True,12,True,1,False,False
1764361600.9559379,47,False,True,True,13,True,1,False,False
1764361601.6253004,47,False,True,True,13,True,1,False,False
1764361602.9287248,47,False,True,True,13,True,1,False,False
1764361603.4814332,47,False,True,True,14,True,1,False,False
1764361604.4660356,46,False,True,True,14,True,1,False,False
1764361605.0402813,46,False,True,True,14,True,1,False,False
1764361605.9055216,45,False,True,True,14,True,1,False,False
1764361606.521023,45,False,True,True,15,True,1,False,False
1764361607.4006765,45,False,True,True,15,True,1,False,False
1764361608.3405776,44,False,True,True,15,True,1,False,False
1764361609.119134,44,False,True,True,15,True,1,False,False
1764361610.1016114,43,False,True,True,15,True,1,False,False
1764361611.1196704,43,False,True,True,16,True,1,False,False
1764361612.2834349,43,False,True,True,16,True,1,False,False
1764361613.1672833,42,False,True,True,16,True,1,False,False
1764361613.7921982,42,False,True,True,17,True,1,False,False
1764361614.2360432,42,False,True,True,17,True,1,False,False
1764361614.86123,41,False,True,True,17,True,1,False,False
1764361615.5162659,41,False,True,True,17,True,1,False,False
1764361616.4889784,41,False,True,True,17,True,1,False,False
1764361617.7092013,40,True,True,True,18,True,1,False,False
1764361618.323116,40,True,True,True,18,True,1,False,False
1764361618.886725,40,True,True,True,18,True,1,False,False
1764361619.389286,40,True,True,True,18,True,1,False,False
1764361619.9633598,41,True,True,True,18,True,1,False,False
1764361620.5975547,41,True,True,True,18,True,1,False,False
1764361621.4826632,41,True,True,True,19,True,1,False,False
1764361622.2879364,41,True,True,True,19,True,1,False,False
1764361622.9944427,41,True,True,True,19,True,1,False,False
1764361623.8718114,42,True,True,True,19,True,1,False,False
1764361624.4157133,42,True,True,True,19,True,1,False,False
1764361625.0089078,42,True,True,True,19,True,1,False,False
1764361625.6841092,42,True,True,True,20,False,1,False,False
1764361626.5325975,42,True,True,True,20,False,1,False,False
1764361627.4444873,42,True,False,False,20,False,1,False,False
1764361627.9531407,42,True,False,False,20,False,1,False,False
1764361628.6193533,42,True,False,False,20,False,1,False,False
1764361629.6532652,44,True,False,False,20,False,1,False,False
1764361630.5105498,44,True,False,False,20,False,1,False,False
1764361631.0644922,44,True,False,False,20,False,1,False,False
1764361631.5016859,44,True,False,False,20,False,1,False,False
1764361632.4041908,45,True,False,False,19,False,1,False,False
1764361633.0662103,46,True,False,False,19,False,1,False,False
1764361633.7532103,46,True,False,False,19,False,1,False,False
1764361634.639267,47,True,False,False,19,False,1,False,False
1764361635.2254934,47,True,False,False,19,False,1,False,False
1764361636.1590538,48,True,False,False,19,False,1,False,False
1764361636.9113035,48,True,False,False,19,False,1,False,False
1764361637.7534466,49,True,False,False,19,False,1,False,False
1764361638.1025827,49,True,False,False,19,False,1,False,False
1764361638.8176389,50,True,False,False,19,False,1,False,False
1764361639.5561297,50,True,False,False,18,False,1,False,False
1764361640.5938885,50,True,False,False,18,False,2,False,False
1764361641.5305786,51,True,False,False,18,False,2,False,False
1764361642.3034089,52,True,False,False,18,False,2,False,False
1764361642.9852057,52,True,False,False,18,False,2,False,False
1764361643.8976188,53,True,False,False,18,False,2,False,False
1764361644.6541731,53,True,False,False,18,False,2,False,False
1764361645.7724733,54,True,False,False,17,False,2,False,False
1764361646.627724,54,True,False,False,17,False,2,False,False
1764361647.365858,55,True,False,False,17,False,2,False,False
1764361648.1652598,55,True,False,False,17,False,2,False,False
1764361648.866207,56,True,False,False,17,False,2,False,False
1764361649.5728495,56,True,False,False,17,False,2,False,False
1764361650.0408702,57,True,False,False,17,False,2,False,False
1764361650.7732975,57,True,False,False,17,False,2,False,False
1764361651.3162014,57,True,False,False,17,False,2,False,False
1764361651.8856955,58,True,False,False,17,False,2,False,False
1764361652.4537296,58,True,False,False,16,False,2,False,False
1764361653.4200146,59,True,False,False,16,False,2,False,False
1764361654.8244736,60,True,False,False,16,False,2,False,False
1764361655.5491028,60,True,False,False,16,False,2,False,False
1764361656.446438,61,True,False,False,16,False,2,False,False
1764361656.8362296,61,True,False,False,16,False,2,False,False
1764361657.5335727,61,True,False,False,16,False,2,False,False
1764361658.2187169,62,True,False,False,16,False,2,False,False
1764361658.64837,63,True,False,False,15,False,2,False,False
1764361659.0914526,63,True,False,False,15,False,2,False,False
1764361659.7572963,63,True,False,False,15,False,2,False,False
1764361660.5420997,63,True,False,False,15,False,2,False,False
1764361661.198673,64,True,False,False,15,False,2,False,False
1764361662.093399,64,True,False,False,15,False,2,False,False
1764361662.7184744,65,True,False,False,15,False,2,False,False
1764361663.7544866,66,True,False,False,15,False,2,False,False
1764361664.579246,66,True,False,False,15,False,2,False,False
1764361665.1656046,66,True,False,False,15,False,2,False,False
1764361665.9036827,67,True,False,False,15,False,2,False,False
1764361666.6530228,67,True,False,False,14,False,2,False,False
1764361667.0807362,68,True,False,False,14,False,2,False,False
1764361667.7489731,68,True,False,False,14,False,2,False,False
1764361668.8896036,69,True,False,False,14,False,2,False,False
1764361669.3330383,69,True,False,False,14,False,2,False,False
1764361670.4626458,70,True,False,False,14,False,2,False,False
1764361671.2279928,70,True,False,False,14,False,2,False,False
1764361672.009165,71,True,False,False,14,False,2,False,False
1764361672.62381,71,True,False,False,14,False,2,False,False
1764361673.3630533,72,True,False,False,14,False,2,False,False
1764361673.7027829,72,True,False,False,13,False,2,False,False
1764361674.6662374,72,True,False,False,13,False,2,False,False
1764361675.4755008,73,True,False,False,13,False,2,False,False
1764361676.0843587,74,True,False,False,13,False,2,False,False
1764361676.8019955,74,True,False,False,13,False,2,False,False
1764361677.668099,74,True,False,False,13,False,2,False,False
1764361678.3063548,75,True,False,False,13,False,2,False,False
1764361678.8862605,76,True,False,False,13,False,2,False,False
1764361679.4006085,76,True,False,False,13,False,2,False,False
1764361680.2696884,76,True,False,False,13,False,2,False,False
1764361680.7666404,77,True,False,False,12,False,2,False,False
1764361681.707752,77,True,False,False,12,False,2,False,False
1764361682.8793414,78,True,False,False,12,False,2,False,False
1764361683.6432002,79,True,False,False,12,False,2,False,False
1764361684.6840534,79,True,False,False,12,False,2,False,False
1764361685.2427442,79,True,False,False,12,False,2,False,False
1764361686.1702867,80,False,False,False,12,False,2,False,False
1764361687.2446733,80,False,False,False,12,False,2,False,False
1764361688.2496428,80,False,False,False,12,False,2,False,False
1764361689.2124493,80,False,False,False,11,False,2,False,False
1764361690.1717293,80,False,False,False,11,False,2,False,False
1764361691.0558476,80,False,False,False,11,False,2,False,False
1764361692.370013,80,False,False,False,11,False,2,False,False
1764361693.1565664,80,False,False,False,11,False,2,False,False
1764361693.8711238,80,False,False,False,11,False,2,False,False
1764361694.4672022,80,False,False,False,11,False,2,False,False
1764361695.8234994,80,False,False,False,11,False,2,False,False
1764361696.5564394,80,False,False,False,11,False,2,False,False
1764361697.2213712,80,False,False,False,11,False,2,False,False
1764361698.1380203,80,False,False,False,10,True,2,False,False
1764361698.8706849,80,False,False,False,10,True,2,False,False
1764361699.4333818,80,False,False,False,10,True,2,False,False
1764361700.2112267,80,False,False,False,10,True,2,False,False
1764361700.9358435,80,False,False,False,10,True,2,False,False
1764361702.1367116,80,False,False,False,10,True,2,False,False
1764361702.949873,80,False,True,True,10,True,2,False,False
1764361703.9894922,80,False,True,True,10,True,2,False,False
1764361704.9553432,79,False,True,True,11,True,2,False,False
1764361705.5442317,79,False,True,True,11,True,2,False,False
1764361706.0801067,78,False,True,True,11,True,2,False,False
1764361706.97103,78,False,True,True,12,True,2,False,False
1764361707.8127177,77,False,True,True,12,True,2,False,False
1764361708.7195826,77,False,True,True,13,True,2,False,False
