PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC1_InputRegisters_IW0,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW0,PLC2_MemoryRegisters_MW1,PLC2_Coils_QX00,prev_PLC3_InputRegisters_IW0,prev_PLC3_Coils_QX00,prev_PLC1_InputRegisters_IW0,prev_PLC1_Coils_QX00,prev_PLC1_Coils_QX01,prev_PLC1_Coils_QX02,prev_PLC2_InputRegisters_IW0,prev_PLC2_Coils_QX00,tmp
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,199
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,17,0,200
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,201
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,202
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,203
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,204
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,205
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,206
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,207
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,208
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,209
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,210
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,211
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,212
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,213
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,214
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,215
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,216
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,217
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,218
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,219
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,220
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,221
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,222
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,223
1,10,0,53,40,80,0,0,0,16,10,20,0,1,0,53,0,0,0,16,0,224
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,16,0,225
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,226
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,227
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,228
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,229
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,230
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,231
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,232
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,233
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,234
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,235
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,236
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,237
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,238
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,239
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,240
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,241
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,242
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,243
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,244
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,245
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,246
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,247
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,248
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,249
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,250
