A,B,C,D,E,F,G,H,I,J
1764362052.2622836,69,False,True,True,18,True,2,False,False
1764362055.984575,68,False,True,True,19,False,2,False,False
1764362058.4981887,66,False,False,False,20,False,2,False,False
1764362061.6170902,66,False,False,False,20,False,2,False,False
1764362065.1156886,66,False,False,False,19,False,2,False,False
1764362067.730603,66,False,False,False,19,False,2,False,False
1764362071.430142,66,False,False,False,18,False,2,False,False
1764362074.8014908,66,False,False,False,18,False,2,False,False
1764362078.081738,66,False,False,False,17,False,3,True,False
1764362081.413901,66,False,False,False,19,False,0,False,False
1764362084.7144742,66,False,False,False,19,False,0,False,False
1764362087.436802,66,False,False,False,18,False,0,False,False
1764362091.493973,66,False,False,False,18,False,0,False,False
1764362094.1703124,66,False,False,False,17,False,0,False,False
1764362097.58398,66,False,False,False,17,False,0,False,False
1764362101.1055343,66,False,False,False,16,False,0,False,False
1764362104.727136,66,False,False,False,16,False,0,False,False
1764362107.94997,66,False,False,False,15,False,0,False,False
1764362110.8476646,66,False,False,False,15,False,0,False,False
1764362114.1198447,66,False,False,False,14,False,0,False,False
1764362117.496932,66,False,False,False,14,False,0,False,False
1764362120.8134444,66,False,False,False,14,False,1,False,False
1764362124.481846,66,False,False,False,13,False,1,False,False
1764362127.9052162,66,False,False,False,13,False,1,False,False
1764362131.1922164,66,False,False,False,12,False,1,False,False
1764362134.5991504,66,False,False,False,12,False,1,False,False
1764362138.711107,66,False,False,False,11,False,1,False,False
1764362141.4576855,66,False,False,False,11,False,1,False,False
1764362145.8157969,66,False,False,False,10,True,1,False,False
1764362148.8557956,66,False,True,True,10,True,1,False,False
1764362151.6383567,64,False,True,True,11,True,1,False,False
1764362154.80301,63,False,True,True,12,True,1,False,False
1764362158.0935497,61,False,True,True,14,True,1,False,False
1764362161.8723848,59,False,True,True,15,True,1,False,False
1764362166.0776813,57,False,True,True,17,True,1,False,False
1764362169.7581024,55,False,True,True,18,True,1,False,False
1764362173.9462607,53,False,True,True,19,True,1,False,False
1764362176.9236996,52,False,True,True,20,False,1,False,False
1764362179.0673668,51,False,False,False,20,False,1,False,False
1764362182.341149,51,False,False,False,20,False,1,False,False
1764362184.6732306,51,False,False,False,20,False,1,False,False
1764362187.6121013,51,False,False,False,19,False,1,False,False
1764362190.6781204,51,False,False,False,19,False,2,False,False
1764362194.125991,51,False,False,False,18,False,2,False,False
1764362197.958845,51,False,False,False,18,False,2,False,False
1764362201.2476459,51,False,False,False,17,False,2,False,False
1764362204.7710488,51,False,False,False,17,False,2,False,False
1764362208.4250865,51,False,False,False,16,False,2,False,False
1764362211.5955756,51,False,False,False,16,False,2,False,False
1764362215.0934901,51,False,False,False,15,False,2,False,False
1764362218.4358118,51,False,False,False,15,False,2,False,False
1764362221.971751,51,False,False,False,14,False,2,False,False
1764362225.2783537,51,False,False,False,14,False,2,False,False
1764362229.0513248,51,False,False,False,13,False,2,False,False
1764362231.9885032,51,False,False,False,13,False,2,False,False
1764362235.5251298,51,False,False,False,12,False,2,False,False
1764362239.9264557,51,False,False,False,12,False,2,False,False
1764362243.973185,51,False,False,False,11,False,2,False,False
1764362246.8491209,51,False,False,False,11,False,2,False,False
1764362249.4675915,51,False,False,False,11,False,2,False,False
1764362252.2267454,51,False,False,False,10,True,2,False,False
1764362254.489266,51,False,True,True,10,True,2,False,False
1764362257.3190622,49,False,True,True,11,True,2,False,False
1764362260.4061344,48,False,True,True,12,True,2,False,False
1764362263.832887,47,False,True,True,13,True,2,True,False
1764362267.5592747,45,False,True,True,17,True,0,False,False
1764362271.4810917,43,False,True,True,18,True,0,False,False
1764362274.720653,42,False,True,True,19,True,0,False,False
1764362278.2074213,41,False,False,False,20,False,0,False,False
1764362281.2800715,41,True,False,False,20,False,0,False,False
1764362283.8914602,43,True,False,False,19,False,0,False,False
1764362287.5563886,46,True,False,False,19,False,0,False,False
1764362290.6099014,48,True,False,False,18,False,0,False,False
1764362292.8112493,49,True,False,False,18,False,0,False,False
1764362296.2378118,51,True,False,False,17,False,0,False,False
1764362299.124497,53,True,False,False,17,False,0,False,False
1764362301.689233,55,True,False,False,16,False,0,False,False
1764362305.8744512,58,True,False,False,16,False,1,False,False
1764362308.893239,60,True,False,False,15,False,1,False,False
1764362312.5745194,62,True,False,False,15,False,1,False,False
1764362315.0858204,63,True,False,False,15,False,1,False,False
1764362318.112624,65,True,False,False,14,False,1,False,False
1764362321.1630654,67,True,False,False,14,False,1,False,False
1764362324.3125408,69,True,False,False,13,False,1,False,False
1764362327.9487936,72,True,False,False,13,False,1,False,False
1764362330.7607977,74,True,False,False,12,False,1,False,False
1764362333.7282293,76,True,False,False,12,False,1,False,False
1764362338.359104,78,True,False,False,11,False,1,False,False
1764362343.386508,80,False,False,False,11,False,1,False,False
1764362346.206164,80,False,False,False,11,True,1,False,False
1764362349.8035972,79,False,True,True,11,True,1,False,False
1764362353.9866452,77,False,True,True,12,True,1,False,False
1764362357.8918066,75,False,True,True,14,True,1,False,False
1764362360.8857427,73,False,True,True,15,True,1,False,False
1764362366.9785244,70,False,True,True,18,True,1,False,False
1764362370.2818646,68,False,True,True,19,True,1,False,False
1764362375.233745,66,False,False,False,20,False,2,False,False
1764362379.2333357,66,False,False,False,20,False,2,False,False
1764362382.3425899,66,False,False,False,19,False,2,False,False
1764362387.1227882,66,False,False,False,18,False,2,False,False
1764362391.216023,66,False,False,False,18,False,2,False,False
1764362395.992393,66,False,False,False,17,False,2,False,False
1764362401.1533232,66,False,False,False,16,False,2,False,False
