A,B,C,D,E,F,G,H,I,J,K,L
2401,14652,15357,12208,11922,18833,13154,18025,12146,11917,18863,False
2409,14647,15440,12179,11903,18753,13082,17883,12188,11946,18758,False
2417,14644,15335,12207,11910,18796,13011,17968,12166,11922,18811,False
2425,14645,15374,12180,11895,18801,12945,17873,12198,11941,18777,False
2433,14646,15205,12236,11923,18784,12830,17982,12158,11916,18814,False
2441,14646,15246,12182,11889,18853,12746,17894,12189,11933,18780,False
2449,14644,15180,12199,11901,18766,12660,17914,12178,11927,18783,False
2457,14648,15169,12192,11892,18787,12557,17925,12180,11922,18820,False
2465,14646,15226,12151,11874,18807,12423,17860,12194,11939,18803,False
2473,14652,14986,12246,11926,18772,12317,17885,12196,11939,18841,False
2481,14663,15048,12208,11898,18805,12218,17997,12156,11906,18786,False
2489,14674,15018,12215,11910,18748,12140,17909,12169,11921,18723,False
2497,14685,15127,12166,11890,18814,12062,17892,12173,11926,18832,False
2505,14680,15066,12180,11893,18794,11974,17797,12211,11963,18791,False
2513,14689,15065,12187,11899,18770,11905,17936,12167,11923,18831,False
2521,14692,14580,12238,11956,18836,11804,17843,12195,11955,18797,False
2529,14702,14636,12215,11937,18797,11680,17870,12185,11943,18812,False
2537,14715,15123,12150,11893,18726,11616,17823,12195,11954,18782,False
2545,14732,14565,12226,11955,18804,11507,17930,12162,11937,18796,False
2553,14751,15068,12172,11922,18824,11364,17836,12196,11976,18819,False
2561,14761,15021,12188,11941,18733,11280,17875,12180,11966,18729,False
2569,14773,15093,12159,11926,18769,11179,17866,12177,11970,18851,False
2577,14781,15038,12190,11955,18828,11112,17934,12159,11959,18802,False
2585,14794,14622,12211,11993,18747,11043,17786,12210,11957,18773,True
2593,14810,14638,12208,12019,18789,11133,17835,12193,11958,18826,True
2601,14816,15095,12167,11964,18772,11172,17889,12178,11951,18848,True
2609,14822,15107,12167,11961,18859,11218,17865,12182,11959,18786,True
2617,14833,15069,12194,11988,18789,11285,17917,12166,11954,18776,True
2625,14841,15040,12213,12009,18747,11349,17774,12216,11989,18796,True
2633,14847,14636,12229,12063,18813,11396,17834,12194,11979,18840,True
2641,14852,15022,12229,12024,18719,11434,17923,12167,11960,18772,True
2649,14856,15120,12201,12009,18847,11470,17784,12203,11988,18711,True
2657,14857,15180,12199,12007,18802,11523,17831,12199,11988,18796,True
2665,14858,15253,12192,11998,18805,11599,17942,12164,11964,18796,True
2673,14861,15197,12223,12018,18762,11672,17804,12200,11990,18752,True
2681,14862,15275,12210,12012,18729,11726,17850,12192,11981,18775,True
2689,14866,15290,12203,12005,18705,11776,17909,12172,11962,18721,True
2697,14867,15279,12226,12015,18696,11816,17866,12187,11969,18725,True
2705,14867,15504,12142,11960,18707,11865,17868,12180,11962,18664,True
2713,14869,15298,12225,12009,18789,11903,17905,12175,11960,18723,True
2721,14869,15437,12186,11982,18719,11943,17955,12151,11936,18786,True
2729,14868,15529,12160,11960,18667,12010,17926,12166,11942,18678,True
2737,14872,15576,12154,11947,18674,12085,17894,12173,11932,18670,True
2745,14873,15410,12223,11982,18686,12139,17831,12196,11944,18707,True
2753,14869,15427,12228,11984,18718,12199,18002,12140,11903,18722,True
2761,14858,15578,12186,11950,18812,12265,17806,12209,11937,18799,True
2769,14853,15532,12205,11961,18709,12304,17961,12153,11898,18747,True
2777,14847,15642,12188,11939,18690,12375,17857,12188,11908,18738,True
2785,14841,15669,12185,11931,18739,12439,17885,12183,11896,18728,True
2793,14834,15697,12186,11923,18730,12481,17911,12167,11888,18725,True
2801,14824,15585,12233,11959,18796,12512,17873,12180,11889,18693,True
