timestamp,PLC1_IR0,PLC1_IR1,PLC1_IR2,PLC1_IR3,PLC1_IR4,PLC1_IR5,PLC1_C0,PLC1_C1,PLC1_C2,PLC1_C3,PLC1_C4,PLC1_C5,PLC1_C6,PLC1_DR0,PLC1_DR1,PLC1_DR2,PLC1_DR3,PLC1_DR4,PLC1_DR5,PLC2_IR0,PLC2_IR1,PLC2_IR2,PLC2_IR3,PLC2_IR4,PLC2_IR5,PLC2_C0,PLC2_C1,PLC2_C2,PLC2_C3,PLC2_C4,PLC2_C5,PLC2_C6,PLC2_C7,PLC2_C10,PLC2_DR0,PLC2_DR1,PLC2_DR2,PLC2_DR3,PLC2_DR4,PLC2_DR5
1768573301.5351768,26266,19574,15524,12155,11954,18747,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14572,17782,12206,12009,18773,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573302.564523,26266,19574,15384,12210,11992,18778,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14572,17782,12206,12009,18773,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573303.4470522,26266,19575,15386,12208,11989,18766,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14556,17921,12169,11982,18796,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573303.9239717,26266,19575,15348,12231,12007,18768,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14539,17965,12144,11963,18773,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573304.7102225,26266,19575,15348,12231,12007,18768,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14524,17829,12187,11995,18774,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573305.313105,26266,19576,15392,12202,11976,18796,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14524,17829,12187,11995,18774,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573305.7086375,26266,19576,15392,12202,11976,18796,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14524,17829,12187,11995,18774,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573306.1185622,26266,19576,15433,12185,11963,18758,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14508,17957,12155,11966,18794,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573306.5144675,26266,19576,15433,12185,11963,18758,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14508,17957,12155,11966,18794,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573306.9196653,26266,19576,15433,12185,11963,18758,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14508,17957,12155,11966,18794,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573307.2946951,26266,19576,15380,12210,11983,18762,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14492,17854,12180,11987,18788,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573307.807327,26266,19576,15380,12210,11983,18762,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14492,17854,12180,11987,18788,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573308.329161,26266,19574,15417,12196,11980,18811,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14477,17758,12216,12004,18761,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573308.9032702,26266,19574,15417,12196,11980,18811,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14477,17758,12216,12004,18761,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573309.4661958,26266,19571,15407,12204,11984,18783,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14444,17863,12188,11987,18781,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573309.9124956,26266,19571,15407,12204,11984,18783,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14444,17863,12188,11987,18781,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573310.8008218,26266,19565,15598,12134,11933,18816,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14425,17995,12147,11959,18790,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573311.3010693,26266,19565,15598,12134,11933,18816,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14425,17995,12147,11959,18790,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573311.805068,26266,19563,15500,12172,11958,18829,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14407,17918,12165,11973,18813,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573312.1733449,26266,19563,15500,12172,11958,18829,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14407,17918,12165,11973,18813,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573312.7585232,26266,19562,15464,12192,11967,18811,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14389,17770,12212,12000,18786,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573313.434961,26266,19562,15464,12192,11967,18811,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14389,17770,12212,12000,18786,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573314.320846,26266,19561,15469,12194,11968,18835,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14370,17893,12169,11971,18796,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573315.0696194,26266,19560,15472,12183,11955,18789,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14354,17789,12210,11999,18818,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
